arm,seed,note,asked,images_opened,unknown_objects,unknown_proposals,proposals_per_object,unknown_classes,head_objects,medium_objects,tail_objects,head_proposals,medium_proposals,tail_proposals,head_classes,medium_classes,tail_classes,tail_share_objects,tail_objects_per_region,tail_objects_per_image,selected_background,selected_known,selected_unknown
A(x)+NMS - drop 10% known-like [posterior],0,,600,600,168,168,1.0,22,93,22,53,93,22,53,8,5,9,0.3155,0.088333,0.088333,350,82,168
A(x)+NMS - drop 20% known-like [posterior],0,,600,600,169,169,1.0,23,93,22,54,93,22,54,8,5,10,0.3195,0.09,0.09,349,82,169
A(x)+NMS - drop 25% known-like [posterior],0,,600,600,166,166,1.0,23,91,23,52,91,23,52,8,5,10,0.3133,0.086667,0.086667,352,82,166
A(x)+NMS - drop 30% known-like [posterior],0,,600,600,163,163,1.0,24,88,22,53,88,22,53,9,5,10,0.3252,0.088333,0.088333,354,83,163
A(x)+NMS - drop 40% known-like [posterior],0,,600,600,155,155,1.0,19,89,18,48,89,18,48,7,4,8,0.3097,0.08,0.08,374,71,155
A(x)+NMS - drop 50% known-like [posterior],0,,600,599,147,147,1.0,19,87,14,46,87,14,46,7,4,8,0.3129,0.076667,0.076795,385,68,147
A(x)+NMS - drop 10% known-like [prototype],1,,600,600,168,168,1.0,23,92,22,54,92,22,54,8,5,10,0.3214,0.09,0.09,348,84,168
A(x)+NMS - drop 20% known-like [prototype],1,,600,600,170,170,1.0,24,94,22,54,94,22,54,9,5,10,0.3176,0.09,0.09,346,84,170
A(x)+NMS - drop 25% known-like [prototype],1,,600,600,173,173,1.0,24,95,22,56,95,22,56,9,5,10,0.3237,0.093333,0.093333,342,85,173
A(x)+NMS - drop 30% known-like [prototype],1,,600,600,165,165,1.0,25,96,18,51,96,18,51,10,5,10,0.3091,0.085,0.085,349,86,165
A(x)+NMS - drop 40% known-like [prototype],1,,600,600,155,155,1.0,21,91,16,48,91,16,48,8,4,9,0.3097,0.08,0.08,365,80,155
