seed,scope,admissible_share,eps,min_samples,scope_size,scope_share_of_pool,clusters,noise_share_within_scope,core_border_share_within_scope,unknown_rate_coherent,unknown_rate_noise,background_rate_coherent,background_rate_noise,unknown_objects_scope,unknown_objects_kept,unknown_classes_kept,head_objects_kept,medium_objects_kept,tail_objects_kept,tail_classes_kept,tail_retained_vs_scope,tail_retained_vs_pool,known_share_coherent,known_retained_vs_scope,c1_objects_not_preferentially_deleted,c2_background_concentrated_in_noise,c3_tail_retained,c4_gate_does_something,accepted
0,full_pool,1.0,0.45,20,80000,1.0,1,0.0169625,0.9830375,0.034408656841676946,0.03831982313927782,0.8192464682171331,0.5165806927044952,1268,1264,58,654,258,352,23,0.9943502824858758,0.9943502824858758,0.14634487494118995,0.9501362172872121,False,False,True,False,False
0,admissible,0.3,0.45,20,24000,0.3,2,0.134125,0.865875,0.07439487993840527,0.1301646474060267,0.6796111832924305,0.47126436781609193,772,745,48,354,151,240,19,0.96,0.6779661016949152,0.24599393676916415,0.799374511336982,False,False,True,True,False
0,admissible_sensitivity,0.1,0.15,5,8000,0.1,1,0.95975,0.04025,0.09627329192546584,0.1635842667361292,0.8975155279503105,0.42914821568116696,476,28,18,11,5,12,8,0.06666666666666667,0.03389830508474576,0.006211180124223602,0.0006391818472355385,False,False,False,True,False
0,admissible_sensitivity,0.1,0.25,5,8000,0.1,14,0.911875,0.088125,0.08226950354609928,0.1684715558601782,0.6028368794326241,0.43303632625085675,476,55,20,30,6,19,10,0.10555555555555556,0.05367231638418079,0.3148936170212766,0.07094918504314478,False,False,False,True,False
0,admissible_sensitivity,0.1,0.35,5,8000,0.1,22,0.747875,0.252125,0.11650966782350025,0.17583152264750126,0.540406544372831,0.4168477352498746,476,225,29,123,26,76,12,0.4222222222222222,0.21468926553672316,0.3430837878036688,0.22115691914349633,False,False,False,True,False
0,admissible_sensitivity,0.1,0.45,5,8000,0.1,21,0.55625,0.44375,0.11183098591549295,0.2,0.49802816901408453,0.40808988764044946,476,321,34,157,47,117,14,0.65,0.3305084745762712,0.3901408450704225,0.44263342921061044,False,False,False,True,False
0,admissible_sensitivity,0.2,0.15,5,16000,0.2,2,0.8679375,0.1320625,0.027922385234264078,0.11831209044430042,0.971131093232371,0.5024123280766184,621,51,28,22,8,21,13,0.09767441860465116,0.059322033898305086,0.000946521533364884,0.0003795786676788764,False,False,False,True,False
0,admissible_sensitivity,0.2,0.25,5,16000,0.2,32,0.7839375,0.2160625,0.051200462829042524,0.12158175874990035,0.7775527914376628,0.5055409391692578,621,167,31,97,18,52,13,0.24186046511627907,0.14689265536723164,0.17124674573329476,0.11235528563294743,False,False,False,True,False
0,admissible_sensitivity,0.2,0.35,5,16000,0.2,41,0.619625,0.380375,0.05948077555044364,0.13516239661085333,0.6669405192244495,0.5013112769820456,621,330,35,171,44,115,13,0.5348837209302325,0.3248587570621469,0.2735787052251068,0.3159992408426646,False,False,False,True,False
0,admissible_sensitivity,0.2,0.45,5,16000,0.2,50,0.3825,0.6175,0.07368421052631578,0.1591503267973856,0.6061740890688259,0.49673202614379086,621,488,43,233,85,170,16,0.7906976744186046,0.480225988700565,0.3201417004048583,0.6003036629341431,False,False,False,True,False
0,admissible_sensitivity,0.5,0.15,5,40000,0.5,52,0.546225,0.453775,0.01774006941766294,0.08947777930340062,0.9581290287036527,0.5832761224770012,953,309,43,154,56,99,17,0.34494773519163763,0.2796610169491525,0.02413090187868437,0.057722720084343704,False,False,False,True,False
0,admissible_sensitivity,0.5,0.25,5,40000,0.5,79,0.25045,0.74955,0.03772263358014809,0.11439409063685366,0.815389233540124,0.5677779996007187,953,758,47,363,166,229,20,0.7979094076655052,0.6468926553672316,0.14688813287972782,0.5803900896151819,False,False,False,True,False
0,admissible_sensitivity,0.5,0.35,5,40000,0.5,6,0.014925,0.985075,0.05710225109763216,0.04522613065326633,0.7570743344415399,0.509212730318258,953,950,51,466,198,286,21,0.9965156794425087,0.807909604519774,0.18582341446082787,0.9649446494464945,True,False,True,False,False
